country,year,electricity_and_heat_co2_emissions,electricity_and_heat_co2_emissions_per_capita,energy_co2_emissions,energy_co2_emissions_per_capita,total_co2_emissions_excluding_lucf,total_co2_emissions_excluding_lucf_per_capita


Germany,1994,384.91,4.758901,860.56,10.639682,875.9,10.829341
Germany,1995,379.36,4.6763406,859.1,10.590056,874.66,10.781863
Germany,1996,389.99,4.7968736,889.53,10.941213,904.34,11.123376
Germany,1997,374.14,4.5942774,857.38,10.528255,872.65,10.715765
Germany,1998,374.12,4.5890565,849.71,10.422771,865.25,10.613389
Germany,1999,359.05,4.402444,817.82,10.027593,833.59,10.220954
Germany,2000,364.01,4.46355,815.03,9.994031,830.28,10.181028
Germany,2001,377.21,4.6275163,834.18,10.233508,847.68,10.399123
Germany,2002,378.72,4.6500993,820.56,10.075215,833.38,10.232625
Germany,2003,384.21,4.7231107,823.28,10.120619,836.79,10.286696
Germany,2004,379.48,4.6695647,807.0,9.93027,821.07,10.103404
Germany,2005,375.8,4.6273856,789.33,9.719357,802.38,9.880047
Germany,2006,379.51,4.675046,801.07,9.868091,814.41,10.03242
Germany,2007,392.57,4.835569,769.35,9.47664,783.8,9.654632
Germany,2008,371.06,4.5687203,776.11,9.555947,789.69,9.723152
Germany,2009,343.1,4.222217,722.25,8.888068,734.81,9.042633
Germany,2010,361.68,4.447336,760.64,9.35308,773.07,9.505923
Germany,2011,354.26,4.3508387,733.09,9.003434,746.48,9.167882
Germany,2012,365.16,4.4779873,746.84,9.158561,760.13,9.321536
Germany,2013,369.74,4.5266566,763.65,9.349223,776.15,9.502257
Germany,2014,350.25,4.2787075,723.11,8.833623,736.01,8.991211
Germany,2015,346.26,4.218915,729.68,8.890596,742.31,9.044484
Germany,2016,345.94,4.2017975,734.49,8.921137,747.15,9.074906
Germany,2017,327.74,3.9666264,718.79,8.6994915,732.2,8.861793
Germany,2018,310.4,3.7444193,694.54,8.37838,707.77,8.537976
Germany,2019,261.86,3.1493185,645.4,7.762049,658.69,7.9218845
Germany,2020,225.46,2.705661,589.99,7.080249,603.35,7.2405767
Ghana,1990,0.04,0.0025895017,2.52,0.16313861,2.52,0.16313861
Ghana,1991,0.05,0.0031558736,2.26,0.1426455,2.26,0.1426455
Ghana,1992,0.05,0.0030785243,2.66,0.16377749,2.66,0.16377749
Ghana,1993,0.06,0.003604981,2.7,0.16222414,2.7,0.16222414
Ghana,1994,0.08,0.0046946015,2.91,0.17076613,2.91,0.17076613
Ghana,1995,0.07,0.004014019,3.18,0.18235114,3.18,0.18235114
Ghana,1996,0.06,0.0033624726,3.48,0.1950234,3.48,0.1950234
Ghana,1997,0.03,0.0016422119,3.6,0.19706543,3.6,0.19706543
Ghana,1998,1.21,0.06465503,5.44,0.29068047,5.44,0.29068047
Ghana,1999,1.15,0.059968296,5.82,0.3034917,5.82,0.3034917
Ghana,2000,0.54,0.027459247,4.95,0.25170976,4.95,0.25170976
Ghana,2001,0.93,0.04604967,5.44,0.26936582,5.44,0.26936582
Ghana,2002,1.95,0.09393822,6.67,0.3213169,6.67,0.3213169
Ghana,2003,1.73,0.08110825,6.38,0.29911596,6.38,0.29911596
